"Statistic","Year","County","School Programme","UNIT","VALUE"
"Classes in National Schools","2016","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2016","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","79"
"Classes in National Schools","2016","Kildare","All first level school programmes","Number","1193"
"Classes in National Schools","2016","Kildare","All mainstream national school programmes","Number","1105"
"Classes in National Schools","2016","Kildare","Pupils with special needs in mainstream national schools","Number","49"
"Classes in National Schools","2016","Kildare","Pupils in special national schools","Number","39"
"Classes in National Schools","2016","Kilkenny","All first level school programmes","Number","481"
"Classes in National Schools","2016","Kilkenny","All mainstream national school programmes","Number","429"
"Classes in National Schools","2016","Kilkenny","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","2016","Kilkenny","Pupils in special national schools","Number","40"
"Classes in National Schools","2016","Laois","All first level school programmes","Number","462"
"Classes in National Schools","2016","Laois","All mainstream national school programmes","Number","431"
"Classes in National Schools","2016","Laois","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","2016","Laois","Pupils in special national schools","Number","17"
"Classes in National Schools","2016","Longford","All first level school programmes","Number","229"
"Classes in National Schools","2016","Longford","All mainstream national school programmes","Number","216"
"Classes in National Schools","2016","Longford","Pupils with special needs in mainstream national schools","Number","8"
"Classes in National Schools","2016","Longford","Pupils in special national schools","Number","5"
"Classes in National Schools","2016","Louth","All first level school programmes","Number","716"
"Classes in National Schools","2016","Louth","All mainstream national school programmes","Number","660"
"Classes in National Schools","2016","Louth","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","2016","Louth","Pupils in special national schools","Number","38"
"Classes in National Schools","2016","Meath","All first level school programmes","Number","1045"
"Classes in National Schools","2016","Meath","All mainstream national school programmes","Number","986"
"Classes in National Schools","2016","Meath","Pupils with special needs in mainstream national schools","Number","30"
"Classes in National Schools","2016","Meath","Pupils in special national schools","Number","29"
"Classes in National Schools","2016","Offaly","All first level school programmes","Number","439"
"Classes in National Schools","2016","Offaly","All mainstream national school programmes","Number","402"
"Classes in National Schools","2016","Offaly","Pupils with special needs in mainstream national schools","Number","33"
"Classes in National Schools","2016","Offaly","Pupils in special national schools","Number","4"
"Classes in National Schools","2016","Westmeath","All first level school programmes","Number","480"
"Classes in National Schools","2016","Westmeath","All mainstream national school programmes","Number","444"
"Classes in National Schools","2016","Westmeath","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","2016","Westmeath","Pupils in special national schools","Number","24"
"Classes in National Schools","2016","Wexford","All first level school programmes","Number","773"
"Classes in National Schools","2016","Wexford","All mainstream national school programmes","Number","716"
"Classes in National Schools","2016","Wexford","Pupils with special needs in mainstream national schools","Number","27"
"Classes in National Schools","2016","Wexford","Pupils in special national schools","Number","30"
"Classes in National Schools","2016","Wicklow","All first level school programmes","Number","737"
"Classes in National Schools","2016","Wicklow","All mainstream national school programmes","Number","672"
"Classes in National Schools","2016","Wicklow","Pupils with special needs in mainstream national schools","Number","28"
"Classes in National Schools","2016","Wicklow","Pupils in special national schools","Number","37"
"Classes in National Schools","2016","Clare","All first level school programmes","Number","615"
"Classes in National Schools","2016","Clare","All mainstream national school programmes","Number","575"
"Classes in National Schools","2016","Clare","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","2016","Clare","Pupils in special national schools","Number","26"
"Classes in National Schools","2016","Cork City","All first level school programmes","Number","676"
"Classes in National Schools","2016","Cork City","All mainstream national school programmes","Number","579"
"Classes in National Schools","2016","Cork City","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","2016","Cork City","Pupils in special national schools","Number","75"
"Classes in National Schools","2016","Cork County","All first level school programmes","Number","2016"
"Classes in National Schools","2016","Cork County","All mainstream national school programmes","Number","1871"
"Classes in National Schools","2016","Cork County","Pupils with special needs in mainstream national schools","Number","95"
"Classes in National Schools","2016","Cork County","Pupils in special national schools","Number","50"
"Classes in National Schools","2016","Kerry","All first level school programmes","Number","725"
"Classes in National Schools","2016","Kerry","All mainstream national school programmes","Number","663"
"Classes in National Schools","2016","Kerry","Pupils with special needs in mainstream national schools","Number","27"
"Classes in National Schools","2016","Kerry","Pupils in special national schools","Number","35"
"Classes in National Schools","2016","Limerick","All first level school programmes","Number",""
"Classes in National Schools","2016","Limerick","All mainstream national school programmes","Number",""
"Classes in National Schools","2016","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2016","Limerick","Pupils in special national schools","Number",""
"Classes in National Schools","2016","Limerick City","All first level school programmes","Number","328"
"Classes in National Schools","2016","Limerick City","All mainstream national school programmes","Number","264"
"Classes in National Schools","2016","Limerick City","Pupils with special needs in mainstream national schools","Number","4"
"Classes in National Schools","2016","Limerick City","Pupils in special national schools","Number","60"
"Classes in National Schools","2016","Limerick County","All first level school programmes","Number","650"
"Classes in National Schools","2016","Limerick County","All mainstream national school programmes","Number","626"
"Classes in National Schools","2016","Limerick County","Pupils with special needs in mainstream national schools","Number","8"
"Classes in National Schools","2016","Limerick County","Pupils in special national schools","Number","16"
"Classes in National Schools","2016","Tipperary","All first level school programmes","Number","838"
"Classes in National Schools","2016","Tipperary","All mainstream national school programmes","Number","760"
"Classes in National Schools","2016","Tipperary","Pupils with special needs in mainstream national schools","Number","28"
"Classes in National Schools","2016","Tipperary","Pupils in special national schools","Number","50"
"Classes in National Schools","2016","Waterford","All first level school programmes","Number",""
"Classes in National Schools","2016","Waterford","All mainstream national school programmes","Number",""
"Classes in National Schools","2016","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2016","Waterford","Pupils in special national schools","Number",""
"Classes in National Schools","2016","Waterford City","All first level school programmes","Number","267"
"Classes in National Schools","2016","Waterford City","All mainstream national school programmes","Number","239"
"Classes in National Schools","2016","Waterford City","Pupils with special needs in mainstream national schools","Number","5"
"Classes in National Schools","2016","Waterford City","Pupils in special national schools","Number","23"
"Classes in National Schools","2016","Waterford County","All first level school programmes","Number","325"
"Classes in National Schools","2016","Waterford County","All mainstream national school programmes","Number","312"
"Classes in National Schools","2016","Waterford County","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","2016","Waterford County","Pupils in special national schools","Number","7"
"Classes in National Schools","2016","Galway City","All first level school programmes","Number","366"
"Classes in National Schools","2016","Galway City","All mainstream national school programmes","Number","309"
"Classes in National Schools","2016","Galway City","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","2016","Galway City","Pupils in special national schools","Number","39"
"Classes in National Schools","2016","Galway County","All first level school programmes","Number","967"
"Classes in National Schools","2016","Galway County","All mainstream national school programmes","Number","934"
"Classes in National Schools","2016","Galway County","Pupils with special needs in mainstream national schools","Number","21"
"Classes in National Schools","2016","Galway County","Pupils in special national schools","Number","12"
"Classes in National Schools","2016","Leitrim","All first level school programmes","Number","158"
"Classes in National Schools","2016","Leitrim","All mainstream national school programmes","Number","156"
"Classes in National Schools","2016","Leitrim","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","2016","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","2016","Mayo","All first level school programmes","Number","666"
"Classes in National Schools","2016","Mayo","All mainstream national school programmes","Number","634"
"Classes in National Schools","2016","Mayo","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","2016","Mayo","Pupils in special national schools","Number","16"
"Classes in National Schools","2016","Roscommon","All first level school programmes","Number","338"
"Classes in National Schools","2016","Roscommon","All mainstream national school programmes","Number","322"
"Classes in National Schools","2016","Roscommon","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","2016","Roscommon","Pupils in special national schools","Number","7"
"Classes in National Schools","2016","Sligo","All first level school programmes","Number","330"
"Classes in National Schools","2016","Sligo","All mainstream national school programmes","Number","308"
"Classes in National Schools","2016","Sligo","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","2016","Sligo","Pupils in special national schools","Number","13"
"Classes in National Schools","2016","Cavan","All first level school programmes","Number","438"
"Classes in National Schools","2016","Cavan","All mainstream national school programmes","Number","396"
"Classes in National Schools","2016","Cavan","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","2016","Cavan","Pupils in special national schools","Number","23"
"Classes in National Schools","2016","Donegal","All first level school programmes","Number","850"
"Classes in National Schools","2016","Donegal","All mainstream national school programmes","Number","791"
"Classes in National Schools","2016","Donegal","Pupils with special needs in mainstream national schools","Number","34"
"Classes in National Schools","2016","Donegal","Pupils in special national schools","Number","25"
"Classes in National Schools","2016","Monaghan","All first level school programmes","Number","320"
"Classes in National Schools","2016","Monaghan","All mainstream national school programmes","Number","305"
"Classes in National Schools","2016","Monaghan","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2016","Monaghan","Pupils in special national schools","Number","0"
"Classes in National Schools","2017","All Counties","All first level school programmes","Number","24166"
"Classes in National Schools","2017","All Counties","All mainstream national school programmes","Number","22153"
"Classes in National Schools","2017","All Counties","Pupils with special needs in mainstream national schools","Number","834"
"Classes in National Schools","2017","All Counties","Pupils in special national schools","Number","1179"
"Classes in National Schools","2017","Carlow","All first level school programmes","Number","331"
"Classes in National Schools","2017","Carlow","All mainstream national school programmes","Number","294"
"Classes in National Schools","2017","Carlow","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2017","Carlow","Pupils in special national schools","Number","22"
"Classes in National Schools","2017","Dublin City","All first level school programmes","Number","2239"
"Classes in National Schools","2017","Dublin City","All mainstream national school programmes","Number","1940"
"Classes in National Schools","2017","Dublin City","Pupils with special needs in mainstream national schools","Number","66"
"Classes in National Schools","2017","Dublin City","Pupils in special national schools","Number","233"
"Classes in National Schools","2017","South Dublin","All first level school programmes","Number","1500"
"Classes in National Schools","2017","South Dublin","All mainstream national school programmes","Number","1393"
"Classes in National Schools","2017","South Dublin","Pupils with special needs in mainstream national schools","Number","40"
"Classes in National Schools","2017","South Dublin","Pupils in special national schools","Number","67"
"Classes in National Schools","2017","Fingal","All first level school programmes","Number","1462"
"Classes in National Schools","2017","Fingal","All mainstream national school programmes","Number","1398"
"Classes in National Schools","2017","Fingal","Pupils with special needs in mainstream national schools","Number","48"
"Classes in National Schools","2017","Fingal","Pupils in special national schools","Number","16"
"Classes in National Schools","2017","Dún Laoghaire-Rathdown","All first level school programmes","Number","821"
"Classes in National Schools","2017","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","732"
"Classes in National Schools","2017","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2017","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","74"
"Classes in National Schools","2017","Kildare","All first level school programmes","Number","1220"
"Classes in National Schools","2017","Kildare","All mainstream national school programmes","Number","1128"
"Classes in National Schools","2017","Kildare","Pupils with special needs in mainstream national schools","Number","52"
"Classes in National Schools","2017","Kildare","Pupils in special national schools","Number","40"
"Classes in National Schools","2017","Kilkenny","All first level school programmes","Number","493"
"Classes in National Schools","2017","Kilkenny","All mainstream national school programmes","Number","440"
"Classes in National Schools","2017","Kilkenny","Pupils with special needs in mainstream national schools","Number","13"
"Classes in National Schools","2017","Kilkenny","Pupils in special national schools","Number","40"
"Classes in National Schools","2017","Laois","All first level school programmes","Number","459"
"Classes in National Schools","2017","Laois","All mainstream national school programmes","Number","429"
"Classes in National Schools","2017","Laois","Pupils with special needs in mainstream national schools","Number","13"
"Classes in National Schools","2017","Laois","Pupils in special national schools","Number","17"
"Classes in National Schools","2017","Longford","All first level school programmes","Number","232"
"Classes in National Schools","2017","Longford","All mainstream national school programmes","Number","217"
"Classes in National Schools","2017","Longford","Pupils with special needs in mainstream national schools","Number","10"
"Classes in National Schools","2017","Longford","Pupils in special national schools","Number","5"
"Classes in National Schools","2017","Louth","All first level school programmes","Number","723"
"Classes in National Schools","2017","Louth","All mainstream national school programmes","Number","663"
"Classes in National Schools","2017","Louth","Pupils with special needs in mainstream national schools","Number","21"
"Classes in National Schools","2017","Louth","Pupils in special national schools","Number","39"
"Classes in National Schools","2017","Meath","All first level school programmes","Number","1078"
"Classes in National Schools","2017","Meath","All mainstream national school programmes","Number","1015"
"Classes in National Schools","2017","Meath","Pupils with special needs in mainstream national schools","Number","33"
"Classes in National Schools","2017","Meath","Pupils in special national schools","Number","30"
"Classes in National Schools","2017","Offaly","All first level school programmes","Number","451"
"Classes in National Schools","2017","Offaly","All mainstream national school programmes","Number","406"
"Classes in National Schools","2017","Offaly","Pupils with special needs in mainstream national schools","Number","41"
"Classes in National Schools","2017","Offaly","Pupils in special national schools","Number","4"
"Classes in National Schools","2017","Westmeath","All first level school programmes","Number","490"
"Classes in National Schools","2017","Westmeath","All mainstream national school programmes","Number","449"
"Classes in National Schools","2017","Westmeath","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2017","Westmeath","Pupils in special national schools","Number","26"
"Classes in National Schools","2017","Wexford","All first level school programmes","Number","794"
"Classes in National Schools","2017","Wexford","All mainstream national school programmes","Number","733"
"Classes in National Schools","2017","Wexford","Pupils with special needs in mainstream national schools","Number","31"
"Classes in National Schools","2017","Wexford","Pupils in special national schools","Number","30"
"Classes in National Schools","2017","Wicklow","All first level school programmes","Number","761"
"Classes in National Schools","2017","Wicklow","All mainstream national school programmes","Number","694"
"Classes in National Schools","2017","Wicklow","Pupils with special needs in mainstream national schools","Number","31"
"Classes in National Schools","2017","Wicklow","Pupils in special national schools","Number","36"
"Classes in National Schools","2017","Clare","All first level school programmes","Number","627"
"Classes in National Schools","2017","Clare","All mainstream national school programmes","Number","582"
"Classes in National Schools","2017","Clare","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","2017","Clare","Pupils in special national schools","Number","26"
"Classes in National Schools","2017","Cork City","All first level school programmes","Number","686"
"Classes in National Schools","2017","Cork City","All mainstream national school programmes","Number","583"
"Classes in National Schools","2017","Cork City","Pupils with special needs in mainstream national schools","Number","25"
"Classes in National Schools","2017","Cork City","Pupils in special national schools","Number","78"
"Classes in National Schools","2017","Cork County","All first level school programmes","Number","2078"
"Classes in National Schools","2017","Cork County","All mainstream national school programmes","Number","1924"
"Classes in National Schools","2017","Cork County","Pupils with special needs in mainstream national schools","Number","105"
"Classes in National Schools","2017","Cork County","Pupils in special national schools","Number","49"
"Classes in National Schools","2017","Kerry","All first level school programmes","Number","731"
"Classes in National Schools","2017","Kerry","All mainstream national school programmes","Number","665"
"Classes in National Schools","2017","Kerry","Pupils with special needs in mainstream national schools","Number","29"
"Classes in National Schools","2017","Kerry","Pupils in special national schools","Number","37"
"Classes in National Schools","2017","Limerick","All first level school programmes","Number",""
"Classes in National Schools","2017","Limerick","All mainstream national school programmes","Number",""
"Classes in National Schools","2017","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2017","Limerick","Pupils in special national schools","Number",""
"Classes in National Schools","2017","Limerick City","All first level school programmes","Number","345"
"Classes in National Schools","2017","Limerick City","All mainstream national school programmes","Number","273"
"Classes in National Schools","2017","Limerick City","Pupils with special needs in mainstream national schools","Number","6"
"Classes in National Schools","2017","Limerick City","Pupils in special national schools","Number","66"
"Classes in National Schools","2017","Limerick County","All first level school programmes","Number","668"
"Classes in National Schools","2017","Limerick County","All mainstream national school programmes","Number","641"
"Classes in National Schools","2017","Limerick County","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","2017","Limerick County","Pupils in special national schools","Number","18"
"Classes in National Schools","2017","Tipperary","All first level school programmes","Number","863"
"Classes in National Schools","2017","Tipperary","All mainstream national school programmes","Number","773"
"Classes in National Schools","2017","Tipperary","Pupils with special needs in mainstream national schools","Number","34"
"Classes in National Schools","2017","Tipperary","Pupils in special national schools","Number","56"
"Classes in National Schools","2017","Waterford","All first level school programmes","Number",""
"Classes in National Schools","2017","Waterford","All mainstream national school programmes","Number",""
"Classes in National Schools","2017","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2017","Waterford","Pupils in special national schools","Number",""
"Classes in National Schools","2017","Waterford City","All first level school programmes","Number","271"
"Classes in National Schools","2017","Waterford City","All mainstream national school programmes","Number","240"
"Classes in National Schools","2017","Waterford City","Pupils with special needs in mainstream national schools","Number","8"
"Classes in National Schools","2017","Waterford City","Pupils in special national schools","Number","23"
"Classes in National Schools","2017","Waterford County","All first level school programmes","Number","332"
"Classes in National Schools","2017","Waterford County","All mainstream national school programmes","Number","318"
"Classes in National Schools","2017","Waterford County","Pupils with special needs in mainstream national schools","Number","7"
"Classes in National Schools","2017","Waterford County","Pupils in special national schools","Number","7"
"Classes in National Schools","2017","Galway City","All first level school programmes","Number","369"
"Classes in National Schools","2017","Galway City","All mainstream national school programmes","Number","311"
"Classes in National Schools","2017","Galway City","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","2017","Galway City","Pupils in special national schools","Number","39"
"Classes in National Schools","2017","Galway County","All first level school programmes","Number","986"
"Classes in National Schools","2017","Galway County","All mainstream national school programmes","Number","952"
"Classes in National Schools","2017","Galway County","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","2017","Galway County","Pupils in special national schools","Number","12"
"Classes in National Schools","2017","Leitrim","All first level school programmes","Number","157"
"Classes in National Schools","2017","Leitrim","All mainstream national school programmes","Number","156"
"Classes in National Schools","2017","Leitrim","Pupils with special needs in mainstream national schools","Number","1"
"Classes in National Schools","2017","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","2017","Mayo","All first level school programmes","Number","673"
"Classes in National Schools","2017","Mayo","All mainstream national school programmes","Number","637"
"Classes in National Schools","2017","Mayo","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","2017","Mayo","Pupils in special national schools","Number","19"
"Classes in National Schools","2017","Roscommon","All first level school programmes","Number","356"
"Classes in National Schools","2017","Roscommon","All mainstream national school programmes","Number","337"
"Classes in National Schools","2017","Roscommon","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","2017","Roscommon","Pupils in special national schools","Number","7"
"Classes in National Schools","2017","Sligo","All first level school programmes","Number","338"
"Classes in National Schools","2017","Sligo","All mainstream national school programmes","Number","316"
"Classes in National Schools","2017","Sligo","Pupils with special needs in mainstream national schools","Number","9"
"Classes in National Schools","2017","Sligo","Pupils in special national schools","Number","13"
"Classes in National Schools","2017","Cavan","All first level school programmes","Number","446"
"Classes in National Schools","2017","Cavan","All mainstream national school programmes","Number","402"
"Classes in National Schools","2017","Cavan","Pupils with special needs in mainstream national schools","Number","20"
"Classes in National Schools","2017","Cavan","Pupils in special national schools","Number","24"
"Classes in National Schools","2017","Donegal","All first level school programmes","Number","860"
"Classes in National Schools","2017","Donegal","All mainstream national school programmes","Number","800"
"Classes in National Schools","2017","Donegal","Pupils with special needs in mainstream national schools","Number","34"
"Classes in National Schools","2017","Donegal","Pupils in special national schools","Number","26"
"Classes in National Schools","2017","Monaghan","All first level school programmes","Number","325"
"Classes in National Schools","2017","Monaghan","All mainstream national school programmes","Number","311"
"Classes in National Schools","2017","Monaghan","Pupils with special needs in mainstream national schools","Number","14"
"Classes in National Schools","2017","Monaghan","Pupils in special national schools","Number","0"
"Classes in National Schools","2018","All Counties","All first level school programmes","Number","24566"
"Classes in National Schools","2018","All Counties","All mainstream national school programmes","Number","22430"
"Classes in National Schools","2018","All Counties","Pupils with special needs in mainstream national schools","Number","948"
"Classes in National Schools","2018","All Counties","Pupils in special national schools","Number","1188"
"Classes in National Schools","2018","Carlow","All first level school programmes","Number","339"
"Classes in National Schools","2018","Carlow","All mainstream national school programmes","Number","298"
"Classes in National Schools","2018","Carlow","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","2018","Carlow","Pupils in special national schools","Number","22"
"Classes in National Schools","2018","Dublin City","All first level school programmes","Number","2291"
"Classes in National Schools","2018","Dublin City","All mainstream national school programmes","Number","1989"
"Classes in National Schools","2018","Dublin City","Pupils with special needs in mainstream national schools","Number","68"
"Classes in National Schools","2018","Dublin City","Pupils in special national schools","Number","234"
"Classes in National Schools","2018","South Dublin","All first level school programmes","Number","1523"
"Classes in National Schools","2018","South Dublin","All mainstream national school programmes","Number","1411"
"Classes in National Schools","2018","South Dublin","Pupils with special needs in mainstream national schools","Number","45"
"Classes in National Schools","2018","South Dublin","Pupils in special national schools","Number","67"
"Classes in National Schools","2018","Fingal","All first level school programmes","Number","1496"
"Classes in National Schools","2018","Fingal","All mainstream national school programmes","Number","1429"
"Classes in National Schools","2018","Fingal","Pupils with special needs in mainstream national schools","Number","51"
"Classes in National Schools","2018","Fingal","Pupils in special national schools","Number","16"
"Classes in National Schools","2018","Dún Laoghaire-Rathdown","All first level school programmes","Number","836"
"Classes in National Schools","2018","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","743"
"Classes in National Schools","2018","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","16"
"Classes in National Schools","2018","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","77"
"Classes in National Schools","2018","Kildare","All first level school programmes","Number","1228"
"Classes in National Schools","2018","Kildare","All mainstream national school programmes","Number","1135"
"Classes in National Schools","2018","Kildare","Pupils with special needs in mainstream national schools","Number","52"
"Classes in National Schools","2018","Kildare","Pupils in special national schools","Number","41"
"Classes in National Schools","2018","Kilkenny","All first level school programmes","Number","499"
"Classes in National Schools","2018","Kilkenny","All mainstream national school programmes","Number","444"
"Classes in National Schools","2018","Kilkenny","Pupils with special needs in mainstream national schools","Number","15"
"Classes in National Schools","2018","Kilkenny","Pupils in special national schools","Number","40"
"Classes in National Schools","2018","Laois","All first level school programmes","Number","480"
"Classes in National Schools","2018","Laois","All mainstream national school programmes","Number","443"
"Classes in National Schools","2018","Laois","Pupils with special needs in mainstream national schools","Number","19"
"Classes in National Schools","2018","Laois","Pupils in special national schools","Number","18"
"Classes in National Schools","2018","Longford","All first level school programmes","Number","241"
"Classes in National Schools","2018","Longford","All mainstream national school programmes","Number","224"
"Classes in National Schools","2018","Longford","Pupils with special needs in mainstream national schools","Number","12"
"Classes in National Schools","2018","Longford","Pupils in special national schools","Number","5"
"Classes in National Schools","2018","Louth","All first level school programmes","Number","732"
"Classes in National Schools","2018","Louth","All mainstream national school programmes","Number","665"
"Classes in National Schools","2018","Louth","Pupils with special needs in mainstream national schools","Number","27"
"Classes in National Schools","2018","Louth","Pupils in special national schools","Number","40"
"Classes in National Schools","2018","Meath","All first level school programmes","Number","1092"
"Classes in National Schools","2018","Meath","All mainstream national school programmes","Number","1024"
"Classes in National Schools","2018","Meath","Pupils with special needs in mainstream national schools","Number","37"
"Classes in National Schools","2018","Meath","Pupils in special national schools","Number","31"
"Classes in National Schools","2018","Offaly","All first level school programmes","Number","455"
"Classes in National Schools","2018","Offaly","All mainstream national school programmes","Number","405"
"Classes in National Schools","2018","Offaly","Pupils with special needs in mainstream national schools","Number","45"
"Classes in National Schools","2018","Offaly","Pupils in special national schools","Number","5"
"Classes in National Schools","2018","Westmeath","All first level school programmes","Number","495"
"Classes in National Schools","2018","Westmeath","All mainstream national school programmes","Number","452"
"Classes in National Schools","2018","Westmeath","Pupils with special needs in mainstream national schools","Number","17"
"Classes in National Schools","2018","Westmeath","Pupils in special national schools","Number","26"
"Classes in National Schools","2018","Wexford","All first level school programmes","Number","803"
"Classes in National Schools","2018","Wexford","All mainstream national school programmes","Number","739"
"Classes in National Schools","2018","Wexford","Pupils with special needs in mainstream national schools","Number","34"
"Classes in National Schools","2018","Wexford","Pupils in special national schools","Number","30"
"Classes in National Schools","2018","Wicklow","All first level school programmes","Number","771"
"Classes in National Schools","2018","Wicklow","All mainstream national school programmes","Number","700"
"Classes in National Schools","2018","Wicklow","Pupils with special needs in mainstream national schools","Number","37"
"Classes in National Schools","2018","Wicklow","Pupils in special national schools","Number","34"
"Classes in National Schools","2018","Clare","All first level school programmes","Number","636"
"Classes in National Schools","2018","Clare","All mainstream national school programmes","Number","587"
"Classes in National Schools","2018","Clare","Pupils with special needs in mainstream national schools","Number","23"
"Classes in National Schools","2018","Clare","Pupils in special national schools","Number","26"
"Classes in National Schools","2018","Cork City","All first level school programmes","Number","706"
"Classes in National Schools","2018","Cork City","All mainstream national school programmes","Number","599"
"Classes in National Schools","2018","Cork City","Pupils with special needs in mainstream national schools","Number","28"
"Classes in National Schools","2018","Cork City","Pupils in special national schools","Number","79"
"Classes in National Schools","2018","Cork County","All first level school programmes","Number","2120"
"Classes in National Schools","2018","Cork County","All mainstream national school programmes","Number","1947"
"Classes in National Schools","2018","Cork County","Pupils with special needs in mainstream national schools","Number","122"
"Classes in National Schools","2018","Cork County","Pupils in special national schools","Number","51"
"Classes in National Schools","2018","Kerry","All first level school programmes","Number","732"
"Classes in National Schools","2018","Kerry","All mainstream national school programmes","Number","661"
"Classes in National Schools","2018","Kerry","Pupils with special needs in mainstream national schools","Number","33"
"Classes in National Schools","2018","Kerry","Pupils in special national schools","Number","38"
"Classes in National Schools","2018","Limerick","All first level school programmes","Number","1027"
"Classes in National Schools","2018","Limerick","All mainstream national school programmes","Number","922"
"Classes in National Schools","2018","Limerick","Pupils with special needs in mainstream national schools","Number","24"
"Classes in National Schools","2018","Limerick","Pupils in special national schools","Number","81"
"Classes in National Schools","2018","Limerick City","All first level school programmes","Number",""
"Classes in National Schools","2018","Limerick City","All mainstream national school programmes","Number",""
"Classes in National Schools","2018","Limerick City","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2018","Limerick City","Pupils in special national schools","Number",""
"Classes in National Schools","2018","Limerick County","All first level school programmes","Number",""
"Classes in National Schools","2018","Limerick County","All mainstream national school programmes","Number",""
"Classes in National Schools","2018","Limerick County","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2018","Limerick County","Pupils in special national schools","Number",""
"Classes in National Schools","2018","Tipperary","All first level school programmes","Number","869"
"Classes in National Schools","2018","Tipperary","All mainstream national school programmes","Number","778"
"Classes in National Schools","2018","Tipperary","Pupils with special needs in mainstream national schools","Number","39"
"Classes in National Schools","2018","Tipperary","Pupils in special national schools","Number","52"
"Classes in National Schools","2018","Waterford","All first level school programmes","Number","622"
"Classes in National Schools","2018","Waterford","All mainstream national school programmes","Number","572"
"Classes in National Schools","2018","Waterford","Pupils with special needs in mainstream national schools","Number","18"
"Classes in National Schools","2018","Waterford","Pupils in special national schools","Number","32"
"Classes in National Schools","2018","Waterford City","All first level school programmes","Number",""
"Classes in National Schools","2018","Waterford City","All mainstream national school programmes","Number",""
"Classes in National Schools","2018","Waterford City","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2018","Waterford City","Pupils in special national schools","Number",""
"Classes in National Schools","2018","Waterford County","All first level school programmes","Number",""
"Classes in National Schools","2018","Waterford County","All mainstream national school programmes","Number",""
"Classes in National Schools","2018","Waterford County","Pupils with special needs in mainstream national schools","Number",""
"Classes in National Schools","2018","Waterford County","Pupils in special national schools","Number",""
"Classes in National Schools","2018","Galway City","All first level school programmes","Number","378"
"Classes in National Schools","2018","Galway City","All mainstream national school programmes","Number","316"
"Classes in National Schools","2018","Galway City","Pupils with special needs in mainstream national schools","Number","22"
"Classes in National Schools","2018","Galway City","Pupils in special national schools","Number","40"
"Classes in National Schools","2018","Galway County","All first level school programmes","Number","1001"
"Classes in National Schools","2018","Galway County","All mainstream national school programmes","Number","962"
"Classes in National Schools","2018","Galway County","Pupils with special needs in mainstream national schools","Number","26"
"Classes in National Schools","2018","Galway County","Pupils in special national schools","Number","13"
"Classes in National Schools","2018","Leitrim","All first level school programmes","Number","159"
"Classes in National Schools","2018","Leitrim","All mainstream national school programmes","Number","157"
"Classes in National Schools","2018","Leitrim","Pupils with special needs in mainstream national schools","Number","2"
"Classes in National Schools","2018","Leitrim","Pupils in special national schools","Number","0"
"Classes in National Schools","2018","Mayo","All first level school programmes","Number","678"
