Statistic,Year,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2017,Disorderly conduct,Number,25347
Recorded Crime Offences Under Reservation,2017,Trespass offences,Number,2369
Recorded Crime Offences Under Reservation,2017,Liquor licensing offences,Number,826
Recorded Crime Offences Under Reservation,2017,Prostitution offences,Number,39
Recorded Crime Offences Under Reservation,2017,"Regulated betting/money, collection/trading offences",Number,211
Recorded Crime Offences Under Reservation,2017,Social code offences (n.e.c.),Number,2395
Recorded Crime Offences Under Reservation,2017,"Offences against government, justice procedures and organisation of crime",Number,13770
Recorded Crime Offences Under Reservation,2017,Offences against government and its agents,Number,184
Recorded Crime Offences Under Reservation,2017,Organisation of crime and conspiracy to commit crime,Number,9
Recorded Crime Offences Under Reservation,2017,Perverting the course of justice,Number,55
Recorded Crime Offences Under Reservation,2017,"Offences while in custody, breach of court orders",Number,13522
Recorded Crime Offences Under Reservation,2018,Homicide offences,Number,85
Recorded Crime Offences Under Reservation,2018,Murder,Number,39
Recorded Crime Offences Under Reservation,2018,Manslaughter,Number,8
Recorded Crime Offences Under Reservation,2018,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2018,Dangerous driving leading to death,Number,38
Recorded Crime Offences Under Reservation,2018,Sexual offences,Number,3204
Recorded Crime Offences Under Reservation,2018,Rape of a male or female,Number,792
Recorded Crime Offences Under Reservation,2018,Defilement of a boy or girl less than 17 years old,Number,177
Recorded Crime Offences Under Reservation,2018,Sexual offence involving mentally impaired person,Number,43
Recorded Crime Offences Under Reservation,2018,Aggravated sexual assault,Number,11
Recorded Crime Offences Under Reservation,2018,Sexual assault (not aggravated),Number,1772
Recorded Crime Offences Under Reservation,2018,Other sexual offences,Number,409
Recorded Crime Offences Under Reservation,2018,"Attempts/threats to murder, assaults, harassments and related offences",Number,20173
Recorded Crime Offences Under Reservation,2018,Murder-attempt,Number,14
Recorded Crime Offences Under Reservation,2018,Murder-threat,Number,1066
Recorded Crime Offences Under Reservation,2018,Harassment and related offences,Number,1642
Recorded Crime Offences Under Reservation,2018,"Assault causing harm, poisoning",Number,4550
Recorded Crime Offences Under Reservation,2018,Other assault,Number,12901
Recorded Crime Offences Under Reservation,2018,Dangerous or negligent acts,Number,8555
Recorded Crime Offences Under Reservation,2018,Dangerous driving causing serious bodily harm,Number,29
Recorded Crime Offences Under Reservation,2018,Driving/in charge of a vehicle while over legal alcohol limit,Number,7080
Recorded Crime Offences Under Reservation,2018,Driving/in charge of a vehicle under the influence of drugs,Number,526
Recorded Crime Offences Under Reservation,2018,Endangerment with potential for serious harm/death,Number,208
Recorded Crime Offences Under Reservation,2018,"Abandoning a child, child neglect and cruelty",Number,351
Recorded Crime Offences Under Reservation,2018,Unseaworthy/dangerous use of boat or ship,Number,2
Recorded Crime Offences Under Reservation,2018,False alarm/interference with aircraft or air transport facilities,Number,0
Recorded Crime Offences Under Reservation,2018,Endangering traffic offences,Number,359
Recorded Crime Offences Under Reservation,2018,Kidnapping and related offences,Number,133
Recorded Crime Offences Under Reservation,2018,False imprisonment,Number,84
Recorded Crime Offences Under Reservation,2018,Abduction of person under 16 years of age,Number,17
Recorded Crime Offences Under Reservation,2018,Human trafficking offences,Number,32
Recorded Crime Offences Under Reservation,2018,"Robbery, extortion and hijacking offences",Number,2436
Recorded Crime Offences Under Reservation,2018,Robbery of an establishment or institution,Number,676
Recorded Crime Offences Under Reservation,2018,Robbery of cash or goods in transit,Number,22
Recorded Crime Offences Under Reservation,2018,Robbery from the person,Number,1481
Recorded Crime Offences Under Reservation,2018,Blackmail or extortion,Number,143
Recorded Crime Offences Under Reservation,2018,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,114
Recorded Crime Offences Under Reservation,2018,Burglary and related offences,Number,16961
Recorded Crime Offences Under Reservation,2018,Aggravated burglary,Number,252
Recorded Crime Offences Under Reservation,2018,Burglary (not aggravated),Number,16376
Recorded Crime Offences Under Reservation,2018,"Possession of an article (with intent to burgle, steal, demand)",Number,333
Recorded Crime Offences Under Reservation,2018,Theft and related offences,Number,66932
Recorded Crime Offences Under Reservation,2018,Theft/taking of vehicle and related offences,Number,4714
Recorded Crime Offences Under Reservation,2018,Theft from person,Number,4543
Recorded Crime Offences Under Reservation,2018,Theft from shop,Number,23630
Recorded Crime Offences Under Reservation,2018,"Other thefts, handling stolen property",Number,34045
Recorded Crime Offences Under Reservation,2018,"Fraud, deception and related offences",Number,6297
Recorded Crime Offences Under Reservation,2018,Controlled drug offences,Number,18287
Recorded Crime Offences Under Reservation,2018,Importation of drugs,Number,15
Recorded Crime Offences Under Reservation,2018,Cultivation or manufacture of drugs,Number,200
Recorded Crime Offences Under Reservation,2018,Possession of drugs for sale or supply,Number,4145
Recorded Crime Offences Under Reservation,2018,Possession of drugs for personal use,Number,13385
Recorded Crime Offences Under Reservation,2018,Other drug offences,Number,542
Recorded Crime Offences Under Reservation,2018,Weapons and Explosives Offences,Number,2442
Recorded Crime Offences Under Reservation,2018,"Explosives, chemical weapons offences",Number,35
Recorded Crime Offences Under Reservation,2018,Discharging a firearm,Number,90
Recorded Crime Offences Under Reservation,2018,Possession of a firearm,Number,189
Recorded Crime Offences Under Reservation,2018,Offensive weapons offences (n.e.c.),Number,1960
Recorded Crime Offences Under Reservation,2018,Fireworks offences,Number,168
Recorded Crime Offences Under Reservation,2018,Damage to property and to the environment,Number,21520
Recorded Crime Offences Under Reservation,2018,Arson,Number,1675
Recorded Crime Offences Under Reservation,2018,Criminal damage (not arson),Number,19696
Recorded Crime Offences Under Reservation,2018,Litter offences,Number,149
Recorded Crime Offences Under Reservation,2018,Public order and other social code offences,Number,31968
Recorded Crime Offences Under Reservation,2018,Disorderly conduct,Number,26942
Recorded Crime Offences Under Reservation,2018,Trespass offences,Number,2188
Recorded Crime Offences Under Reservation,2018,Liquor licensing offences,Number,583
Recorded Crime Offences Under Reservation,2018,Prostitution offences,Number,37
Recorded Crime Offences Under Reservation,2018,"Regulated betting/money, collection/trading offences",Number,154
Recorded Crime Offences Under Reservation,2018,Social code offences (n.e.c.),Number,2064
Recorded Crime Offences Under Reservation,2018,"Offences against government, justice procedures and organisation of crime",Number,16300
Recorded Crime Offences Under Reservation,2018,Offences against government and its agents,Number,199
Recorded Crime Offences Under Reservation,2018,Organisation of crime and conspiracy to commit crime,Number,6
Recorded Crime Offences Under Reservation,2018,Perverting the course of justice,Number,27
Recorded Crime Offences Under Reservation,2018,"Offences while in custody, breach of court orders",Number,16068
Recorded Crime Offences Under Reservation,2019,Homicide offences,Number,62
Recorded Crime Offences Under Reservation,2019,Murder,Number,36
Recorded Crime Offences Under Reservation,2019,Manslaughter,Number,3
Recorded Crime Offences Under Reservation,2019,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2019,Dangerous driving leading to death,Number,23
Recorded Crime Offences Under Reservation,2019,Sexual offences,Number,3332
Recorded Crime Offences Under Reservation,2019,Rape of a male or female,Number,826
Recorded Crime Offences Under Reservation,2019,Defilement of a boy or girl less than 17 years old,Number,195
Recorded Crime Offences Under Reservation,2019,Sexual offence involving mentally impaired person,Number,20
Recorded Crime Offences Under Reservation,2019,Aggravated sexual assault,Number,9
Recorded Crime Offences Under Reservation,2019,Sexual assault (not aggravated),Number,1773
Recorded Crime Offences Under Reservation,2019,Other sexual offences,Number,509
Recorded Crime Offences Under Reservation,2019,"Attempts/threats to murder, assaults, harassments and related offences",Number,21775
Recorded Crime Offences Under Reservation,2019,Murder-attempt,Number,27
Recorded Crime Offences Under Reservation,2019,Murder-threat,Number,1257
Recorded Crime Offences Under Reservation,2019,Harassment and related offences,Number,1672
Recorded Crime Offences Under Reservation,2019,"Assault causing harm, poisoning",Number,5014
Recorded Crime Offences Under Reservation,2019,Other assault,Number,13805
Recorded Crime Offences Under Reservation,2019,Dangerous or negligent acts,Number,8699
Recorded Crime Offences Under Reservation,2019,Dangerous driving causing serious bodily harm,Number,39
Recorded Crime Offences Under Reservation,2019,Driving/in charge of a vehicle while over legal alcohol limit,Number,6568
Recorded Crime Offences Under Reservation,2019,Driving/in charge of a vehicle under the influence of drugs,Number,1268
Recorded Crime Offences Under Reservation,2019,Endangerment with potential for serious harm/death,Number,232
Recorded Crime Offences Under Reservation,2019,"Abandoning a child, child neglect and cruelty",Number,310
Recorded Crime Offences Under Reservation,2019,Unseaworthy/dangerous use of boat or ship,Number,3
Recorded Crime Offences Under Reservation,2019,False alarm/interference with aircraft or air transport facilities,Number,3
Recorded Crime Offences Under Reservation,2019,Endangering traffic offences,Number,276
Recorded Crime Offences Under Reservation,2019,Kidnapping and related offences,Number,126
Recorded Crime Offences Under Reservation,2019,False imprisonment,Number,85
Recorded Crime Offences Under Reservation,2019,Abduction of person under 16 years of age,Number,21
Recorded Crime Offences Under Reservation,2019,Human trafficking offences,Number,20
Recorded Crime Offences Under Reservation,2019,"Robbery, extortion and hijacking offences",Number,2340
Recorded Crime Offences Under Reservation,2019,Robbery of an establishment or institution,Number,636
Recorded Crime Offences Under Reservation,2019,Robbery of cash or goods in transit,Number,34
Recorded Crime Offences Under Reservation,2019,Robbery from the person,Number,1371
Recorded Crime Offences Under Reservation,2019,Blackmail or extortion,Number,149
Recorded Crime Offences Under Reservation,2019,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,150
Recorded Crime Offences Under Reservation,2019,Burglary and related offences,Number,16752
Recorded Crime Offences Under Reservation,2019,Aggravated burglary,Number,274
Recorded Crime Offences Under Reservation,2019,Burglary (not aggravated),Number,16145
Recorded Crime Offences Under Reservation,2019,"Possession of an article (with intent to burgle, steal, demand)",Number,333
Recorded Crime Offences Under Reservation,2019,Theft and related offences,Number,68168
Recorded Crime Offences Under Reservation,2019,Theft/taking of vehicle and related offences,Number,4751
Recorded Crime Offences Under Reservation,2019,Theft from person,Number,4305
Recorded Crime Offences Under Reservation,2019,Theft from shop,Number,24686
Recorded Crime Offences Under Reservation,2019,"Other thefts, handling stolen property",Number,34426
Recorded Crime Offences Under Reservation,2019,"Fraud, deception and related offences",Number,7976
Recorded Crime Offences Under Reservation,2019,Controlled drug offences,Number,21369
Recorded Crime Offences Under Reservation,2019,Importation of drugs,Number,29
Recorded Crime Offences Under Reservation,2019,Cultivation or manufacture of drugs,Number,192
Recorded Crime Offences Under Reservation,2019,Possession of drugs for sale or supply,Number,4804
Recorded Crime Offences Under Reservation,2019,Possession of drugs for personal use,Number,15630
Recorded Crime Offences Under Reservation,2019,Other drug offences,Number,714
Recorded Crime Offences Under Reservation,2019,Weapons and Explosives Offences,Number,2684
Recorded Crime Offences Under Reservation,2019,"Explosives, chemical weapons offences",Number,80
Recorded Crime Offences Under Reservation,2019,Discharging a firearm,Number,96
Recorded Crime Offences Under Reservation,2019,Possession of a firearm,Number,206
Recorded Crime Offences Under Reservation,2019,Offensive weapons offences (n.e.c.),Number,2096
Recorded Crime Offences Under Reservation,2019,Fireworks offences,Number,206
Recorded Crime Offences Under Reservation,2019,Damage to property and to the environment,Number,21905
Recorded Crime Offences Under Reservation,2019,Arson,Number,1588
Recorded Crime Offences Under Reservation,2019,Criminal damage (not arson),Number,20162
Recorded Crime Offences Under Reservation,2019,Litter offences,Number,155
Recorded Crime Offences Under Reservation,2019,Public order and other social code offences,Number,32400
Recorded Crime Offences Under Reservation,2019,Disorderly conduct,Number,27963
Recorded Crime Offences Under Reservation,2019,Trespass offences,Number,2270
Recorded Crime Offences Under Reservation,2019,Liquor licensing offences,Number,533
Recorded Crime Offences Under Reservation,2019,Prostitution offences,Number,110
Recorded Crime Offences Under Reservation,2019,"Regulated betting/money, collection/trading offences",Number,124
Recorded Crime Offences Under Reservation,2019,Social code offences (n.e.c.),Number,1400
Recorded Crime Offences Under Reservation,2019,"Offences against government, justice procedures and organisation of crime",Number,17548
Recorded Crime Offences Under Reservation,2019,Offences against government and its agents,Number,248
Recorded Crime Offences Under Reservation,2019,Organisation of crime and conspiracy to commit crime,Number,10
Recorded Crime Offences Under Reservation,2019,Perverting the course of justice,Number,28
Recorded Crime Offences Under Reservation,2019,"Offences while in custody, breach of court orders",Number,17262
